[07 abr 20:03:39] Created new character L2PcInstance:Waizatsu[268481623] [Account: makusanagi - IP: 127.0.0.1].
[07 abr 20:03:42] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[08 abr 17:58:32] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 17:58:57] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 17:59:23] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 18:08:13] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 18:17:19] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 19:21:20] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 19:25:10] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 19:26:03] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 19:42:00] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 20:08:50] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 20:33:31] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 20:34:08] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 20:35:43] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 20:49:16] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 21:00:31] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 21:03:54] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 abr 21:14:06] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 13:22:35] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 13:23:16] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 14:07:20] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 14:32:00] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 14:48:12] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 15:08:40] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 15:38:05] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 18:25:51] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 18:41:09] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 19:40:41] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 19:44:55] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 19:55:19] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 20:00:45] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 20:10:48] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[09 abr 20:15:04] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 12:27:00] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 12:28:41] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 12:28:43] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 14:17:02] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 14:22:34] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 14:48:59] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 14:54:01] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:08:12] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:12:04] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:18:30] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:28:14] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:28:24] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:28:56] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 15:52:33] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:02:49] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:08:39] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:10:31] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:11:25] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:13:33] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:13:43] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 16:14:11] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:15:03] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:20:24] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:24:30] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:31:36] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:35:06] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:43:46] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 18:46:07] Disconnected abnormally, 68.183.109.207
[10 abr 18:59:37] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 19:21:13] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 19:23:34] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[10 abr 19:40:12] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[11 abr 18:37:09] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[11 abr 18:49:22] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:19:06] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:19:57] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:20:20] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:22:21] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:24:13] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 16:51:13] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[12 abr 17:36:47] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[13 abr 18:13:16] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[13 abr 18:20:36] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 12:54:38] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 13:04:24] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 13:04:37] Kicked by login: [Character: Waizatsu[268482253] - Account: makusanagi - IP: 127.0.0.1]
[14 abr 13:04:49] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 13:25:00] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 16:54:32] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:17:14] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:35:58] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:38:53] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:39:13] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:45:46] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:51:52] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:52:13] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 17:55:09] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 18:03:11] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 18:08:56] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[14 abr 18:21:51] Created new character L2PcInstance:Meryem[268482616] [Account: makusanagi2 - IP: 127.0.0.1].
[14 abr 18:21:53] Logged in, Meryem(268482616) makusanagi2 127.0.0.1
[14 abr 18:39:35] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 12:29:33] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 12:34:41] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 12:34:43] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 13:15:47] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 13:29:02] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 14:43:57] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 14:44:45] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 14:46:44] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 14:51:00] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 14:51:02] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 15:30:38] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[15 abr 16:02:03] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 14:24:08] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 19:33:41] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 19:34:40] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 19:35:17] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 19:41:55] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[16 abr 19:47:00] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[17 abr 12:55:01] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[17 abr 13:29:44] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 19:45:48] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 19:52:33] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 19:52:54] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:12:57] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:13:11] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:23:54] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:24:12] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:29:19] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:29:35] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:37:42] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:42:20] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[19 abr 20:47:04] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[24 abr 14:15:44] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[24 abr 15:07:19] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[25 abr 10:05:11] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[25 abr 10:17:22] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[25 abr 10:17:39] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[25 abr 10:22:59] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 10:35:20] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 10:54:10] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 10:54:33] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 10:59:03] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 11:00:19] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 11:09:08] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:08:36] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:47:44] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:48:46] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:49:00] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:49:10] Disconnected abnormally, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 13:56:31] Disconnected abnormally, makusanagi 127.0.0.1
[26 abr 14:01:14] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 14:03:30] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 14:08:23] Logged out, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 14:08:30] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 14:20:00] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[26 abr 14:25:45] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 22:38:02] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 22:40:34] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 22:42:49] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 22:52:01] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 22:54:59] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 23:00:02] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 23:00:26] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 23:03:50] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 23:04:10] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[08 may 23:24:45] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[03 jun 21:33:23] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
[03 jun 22:01:25] Disconnected, Waizatsu(268482253) makusanagi 127.0.0.1
[17 jun 19:15:36] Created new character L2PcInstance:Waizatsu[268481351] [Account: makusanagi - IP: 127.0.0.1].
[17 jun 19:15:38] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:16:55] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:16:57] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:18:17] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:18:19] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:18:35] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:18:51] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:19:36] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 19:19:45] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[17 jun 20:19:41] Disconnected, Waizatsu(268481351) makusanagi 127.0.0.1
[03 jul 11:38:15] Created new character L2PcInstance:Thor[268481376] [Account: makusanagi - IP: 127.0.0.1].
[03 jul 11:38:16] Logged in, Thor(268481376) makusanagi 127.0.0.1
[03 jul 11:38:38] Logged out, Thor(268481376) makusanagi 127.0.0.1
[03 jul 11:39:35] Logged in, Thor(268481376) makusanagi 127.0.0.1
[03 jul 12:29:27] Logged out, Thor(268481376) makusanagi 127.0.0.1
[03 jul 12:30:56] Logged in, Thor(268481376) makusanagi 127.0.0.1
[03 jul 12:42:46] Logged in, Thor(268481376) makusanagi 127.0.0.1
[03 jul 12:47:40] Logged in, Thor(268481376) makusanagi 127.0.0.1
[03 jul 13:04:34] Logged out, Thor(268481376) makusanagi 127.0.0.1
[03 jul 13:04:39] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[03 jul 13:12:53] Disconnected, Waizatsu(268481351) makusanagi 127.0.0.1
[29 jul 22:46:34] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[29 jul 23:39:13] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[29 jul 23:39:15] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 11:04:39] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 11:08:36] Disconnected, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 11:15:00] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:08:10] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:16:32] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:33:39] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:37:03] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:51:41] Logged out, Waizatsu(268481351) makusanagi 127.0.0.1
[26 ago 14:51:44] Logged in, Thor(268481376) makusanagi 127.0.0.1
[26 ago 15:04:19] Logged in, Thor(268481376) makusanagi 127.0.0.1
[26 ago 16:22:37] Logged in, Thor(268481376) makusanagi 127.0.0.1
[26 ago 16:31:09] Disconnected, Shinsou(268481376) makusanagi 127.0.0.1
[27 ago 12:55:18] Logged in, Shinsou(268481376) makusanagi 127.0.0.1
[27 ago 13:29:02] Disconnected, Shinsou(268481376) makusanagi 127.0.0.1
[23 sep 16:22:59] Logged in, Shinsou(268481376) makusanagi 127.0.0.1
[23 sep 16:25:28] Logged out, Shinsou(268481376) makusanagi 127.0.0.1
[23 sep 16:25:33] Logged in, Waizatsu(268481351) makusanagi 127.0.0.1
[23 sep 16:27:12] Disconnected, Waizatsu(268481351) makusanagi 127.0.0.1
